##NAMES=Clinofergusonite-(Ce)
##RRUFFID=R080102
##IDEAL CHEMISTRY=Ce^3+^Nb^5+^O_4_
##LOCALITY=Amherst County, Virginia, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Tan to light brown colored fragment from metamict sample R070300, after heating at T = 1000 C for 20 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080102
1.521560e+003, 2.633626e-002
1.523489e+003, 2.626994e-002
1.525417e+003, 2.639886e-002
1.527346e+003, 2.662275e-002
1.529274e+003, 2.671703e-002
1.531203e+003, 2.701280e-002
1.533131e+003, 2.736310e-002
1.535059e+003, 2.752277e-002
1.536988e+003, 2.779616e-002
1.538916e+003, 2.836693e-002
1.540845e+003, 2.858719e-002
1.542773e+003, 2.848566e-002
1.544702e+003, 2.834057e-002
1.546630e+003, 2.849891e-002
1.548559e+003, 2.869662e-002
1.550487e+003, 2.883450e-002
1.552416e+003, 2.890966e-002
1.554344e+003, 2.914913e-002
1.556273e+003, 2.939278e-002
1.558201e+003, 2.990844e-002
1.560130e+003, 3.006492e-002
1.562058e+003, 2.975270e-002
1.563986e+003, 2.971932e-002
1.565915e+003, 2.985138e-002
1.567843e+003, 2.993395e-002
1.569772e+003, 3.014384e-002
1.571700e+003, 3.019797e-002
1.573629e+003, 3.028876e-002
1.575557e+003, 3.064618e-002
1.577486e+003, 3.068986e-002
1.579414e+003, 3.064179e-002
1.581343e+003, 3.073202e-002
1.583271e+003, 3.070981e-002
1.585200e+003, 3.055177e-002
1.587128e+003, 3.063979e-002
1.589057e+003, 3.091111e-002
1.590985e+003, 3.088760e-002
1.592913e+003, 3.084551e-002
1.594842e+003, 3.088545e-002
1.596770e+003, 3.102548e-002
1.598699e+003, 3.117846e-002
1.600627e+003, 3.120303e-002
1.602556e+003, 3.124424e-002
1.604484e+003, 3.121194e-002
1.606413e+003, 3.112678e-002
1.608341e+003, 3.128035e-002
1.610270e+003, 3.145569e-002
1.612198e+003, 3.166386e-002
1.614127e+003, 3.190114e-002
1.616055e+003, 3.235328e-002
1.617984e+003, 3.229382e-002
1.619912e+003, 3.212642e-002
1.621840e+003, 3.244817e-002
1.623769e+003, 3.271732e-002
1.625697e+003, 3.275917e-002
1.627626e+003, 3.283407e-002
1.629554e+003, 3.278910e-002
1.631483e+003, 3.285893e-002
1.633411e+003, 3.310098e-002
1.635340e+003, 3.340967e-002
1.637268e+003, 3.330511e-002
1.639197e+003, 3.323786e-002
1.641125e+003, 3.340596e-002
1.643054e+003, 3.348727e-002
1.644982e+003, 3.355765e-002
1.646911e+003, 3.357841e-002
1.648839e+003, 3.349646e-002
1.650767e+003, 3.370841e-002
1.652696e+003, 3.390054e-002
1.654624e+003, 3.358360e-002
1.656553e+003, 3.310381e-002
1.658481e+003, 3.280627e-002
1.660410e+003, 3.265938e-002
1.662338e+003, 3.270388e-002
1.664267e+003, 3.270051e-002
1.666195e+003, 3.263599e-002
1.668124e+003, 3.254941e-002
1.670052e+003, 3.229961e-002
1.671981e+003, 3.210057e-002
1.673909e+003, 3.215771e-002
1.675838e+003, 3.216986e-002
1.677766e+003, 3.187297e-002
1.679694e+003, 3.157483e-002
1.681623e+003, 3.160143e-002
1.683551e+003, 3.197356e-002
1.685480e+003, 3.200948e-002
1.687408e+003, 3.159386e-002
1.689337e+003, 3.151462e-002
1.691265e+003, 3.151777e-002
1.693194e+003, 3.167149e-002
1.695122e+003, 3.199917e-002
1.697051e+003, 3.198407e-002
1.698979e+003, 3.210690e-002
1.700908e+003, 3.234334e-002
1.702836e+003, 3.225051e-002
1.704765e+003, 3.237968e-002
1.706693e+003, 3.257222e-002
1.708621e+003, 3.283694e-002
1.710550e+003, 3.309779e-002
1.712478e+003, 3.354077e-002
1.714407e+003, 3.433643e-002
1.716335e+003, 3.534968e-002
1.718264e+003, 3.613385e-002
1.720192e+003, 3.676169e-002
1.722121e+003, 3.720269e-002
1.724049e+003, 3.753457e-002
1.725978e+003, 3.804143e-002
1.727906e+003, 3.858403e-002
1.729835e+003, 3.886343e-002
1.731763e+003, 3.895594e-002
1.733692e+003, 3.893054e-002
1.735620e+003, 3.847354e-002
1.737548e+003, 3.770456e-002
1.739477e+003, 3.703022e-002
1.741405e+003, 3.621811e-002
1.743334e+003, 3.533673e-002
1.745262e+003, 3.425445e-002
1.747191e+003, 3.339013e-002
1.749119e+003, 3.294900e-002
1.751048e+003, 3.272186e-002
1.752976e+003, 3.238665e-002
1.754905e+003, 3.207269e-002
1.756833e+003, 3.212639e-002
1.758762e+003, 3.222481e-002
1.760690e+003, 3.227621e-002
1.762619e+003, 3.223895e-002
1.764547e+003, 3.214221e-002
1.766475e+003, 3.218595e-002
1.768404e+003, 3.223728e-002
1.770332e+003, 3.265638e-002
1.772261e+003, 3.291783e-002
1.774189e+003, 3.276403e-002
1.776118e+003, 3.276237e-002
1.778046e+003, 3.277575e-002
1.779975e+003, 3.274158e-002
1.781903e+003, 3.280465e-002
1.783832e+003, 3.296756e-002
1.785760e+003, 3.314133e-002
1.787689e+003, 3.319845e-002
1.789617e+003, 3.338138e-002
1.791546e+003, 3.358170e-002
1.793474e+003, 3.355755e-002
1.795402e+003, 3.349222e-002
1.797331e+003, 3.363208e-002
1.799259e+003, 3.371921e-002
1.801188e+003, 3.376488e-002
1.803116e+003, 3.381600e-002
1.805045e+003, 3.391012e-002
1.806973e+003, 3.391415e-002
1.808902e+003, 3.389208e-002
1.810830e+003, 3.394388e-002
1.812759e+003, 3.419347e-002
1.814687e+003, 3.422426e-002
1.816616e+003, 3.418500e-002
1.818544e+003, 3.432764e-002
1.820473e+003, 3.447021e-002
1.822401e+003, 3.457674e-002
1.824329e+003, 3.493942e-002
1.826258e+003, 3.505933e-002
1.828186e+003, 3.498581e-002
1.830115e+003, 3.488984e-002
1.832043e+003, 3.492863e-002
1.833972e+003, 3.514575e-002
1.835900e+003, 3.542134e-002
1.837829e+003, 3.548369e-002
1.839757e+003, 3.564164e-002
1.841686e+003, 3.590593e-002
1.843614e+003, 3.595848e-002
1.845543e+003, 3.577520e-002
1.847471e+003, 3.573360e-002
1.849400e+003, 3.566372e-002
1.851328e+003, 3.573939e-002
1.853256e+003, 3.582098e-002
1.855185e+003, 3.602318e-002
1.857113e+003, 3.638230e-002
1.859042e+003, 3.640525e-002
1.860970e+003, 3.648882e-002
1.862899e+003, 3.662919e-002
1.864827e+003, 3.670286e-002
