##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
1351.855, 8.3265081E-03
1353.784, 8.2990779E-03
1355.712, 8.1854891E-03
1357.641, 8.5643940E-03
1359.569, 8.5608819E-03
1361.498, 8.3852578E-03
1363.426, 8.7582227E-03
1365.354, 9.1994619E-03
1367.283, 9.2095574E-03
1369.211, 9.2057763E-03
1371.140, 9.2315227E-03
1373.068, 9.1933580E-03
1374.997, 9.4353352E-03
1376.925, 9.7461147E-03
1378.854, 9.5531549E-03
1380.782, 9.4734104E-03
1382.711, 9.6718678E-03
1384.639, 9.9432413E-03
1386.568, 1.0500650E-02
1388.496, 1.0792420E-02
1390.424, 1.0778850E-02
1392.353, 1.0977410E-02
1394.281, 1.1344990E-02
1396.210, 1.1856760E-02
1398.138, 1.2254920E-02
1400.067, 1.2597390E-02
1401.995, 1.2896470E-02
1403.924, 1.2960300E-02
1405.852, 1.3417970E-02
1407.781, 1.4064330E-02
1409.709, 1.4659670E-02
1411.638, 1.5259380E-02
1413.566, 1.5514940E-02
1415.495, 1.5944431E-02
1417.423, 1.6801380E-02
1419.351, 1.7703841E-02
1421.280, 1.8669950E-02
1423.208, 1.9247340E-02
1425.137, 1.9724870E-02
1427.065, 2.0629840E-02
1428.994, 2.1366591E-02
1430.922, 2.1813570E-02
1432.851, 2.2575369E-02
1434.779, 2.3150191E-02
1436.708, 2.3576770E-02
1438.636, 2.4088589E-02
1440.565, 2.4403211E-02
1442.493, 2.5025560E-02
1444.422, 2.5539869E-02
1446.350, 2.5861491E-02
1448.278, 2.6231039E-02
1450.207, 2.6860900E-02
1452.135, 2.7220320E-02
1454.064, 2.7169799E-02
1455.992, 2.7362440E-02
1457.921, 2.7837330E-02
1459.849, 2.7948011E-02
1461.778, 2.8136291E-02
1463.706, 2.8307110E-02
1465.635, 2.8243421E-02
1467.563, 2.8304530E-02
1469.492, 2.8143190E-02
1471.420, 2.7806951E-02
1473.349, 2.7649110E-02
1475.277, 2.7574450E-02
1477.205, 2.7329460E-02
1479.134, 2.6984859E-02
1481.062, 2.6732011E-02
1482.991, 2.6352510E-02
1484.919, 2.5447430E-02
1486.848, 2.4597660E-02
1488.776, 2.3932301E-02
1490.705, 2.4120830E-02
1492.633, 2.4013851E-02
1494.562, 2.3263970E-02
1496.490, 2.2343529E-02
1498.419, 2.1715799E-02
1500.347, 2.1252960E-02
1502.276, 2.0480210E-02
1504.204, 1.9737771E-02
1506.132, 1.9154061E-02
1508.061, 1.8651869E-02
1509.989, 1.7849561E-02
1511.918, 1.7139969E-02
1513.846, 1.6770240E-02
1515.775, 1.6209619E-02
1517.703, 1.5191070E-02
1519.632, 1.4615210E-02
1521.560, 1.4266710E-02
1523.489, 1.3966820E-02
1525.417, 1.3726180E-02
1527.346, 1.3525280E-02
1529.274, 1.3317950E-02
1531.203, 1.2720870E-02
1533.131, 1.2066990E-02
1535.059, 1.1971800E-02
1536.988, 1.2094960E-02
1538.916, 1.1988910E-02
1540.845, 1.1565530E-02
1542.773, 1.1292300E-02
1544.702, 1.1092090E-02
1546.630, 1.1092190E-02
1548.559, 1.1031590E-02
1550.487, 1.1020050E-02
1552.416, 1.1024290E-02
1554.344, 1.1009350E-02
1556.273, 1.0701370E-02
1558.201, 1.0385880E-02
1560.130, 1.0381520E-02
1562.058, 1.0245740E-02
1563.986, 1.0037040E-02
1565.915, 1.0365490E-02
1567.843, 1.0714390E-02
1569.772, 1.0553010E-02
1571.700, 1.0192260E-02
1573.629, 9.9810325E-03
1575.557, 9.9967606E-03
1577.486, 1.0110410E-02
1579.414, 9.8624742E-03
1581.343, 9.7105000E-03
1583.271, 1.0030210E-02
1585.200, 1.0242640E-02
1587.128, 1.0243680E-02
1589.057, 1.0104800E-02
1590.985, 1.0214320E-02
1592.913, 1.0468480E-02
1594.842, 1.0482180E-02
1596.770, 1.0336360E-02
1598.699, 1.0115100E-02
1600.627, 1.0151680E-02
1602.556, 1.0248780E-02
1604.484, 1.0127160E-02
1606.413, 1.0308180E-02
1608.341, 1.0858250E-02
1610.270, 1.0865360E-02
1612.198, 1.0702770E-02
1614.127, 1.0407730E-02
1616.055, 1.0110070E-02
1617.984, 1.0029950E-02
1619.912, 1.0345730E-02
1621.840, 1.0796030E-02
1623.769, 1.0707750E-02
1625.697, 1.0358840E-02
1627.626, 1.0370640E-02
1629.554, 1.0579270E-02
1631.483, 1.0691940E-02
1633.411, 1.0494060E-02
1635.340, 1.0516900E-02
1637.268, 1.0738890E-02
1639.197, 1.0761520E-02
1641.125, 1.0943180E-02
1643.054, 1.0831050E-02
1644.982, 1.0547600E-02
1646.911, 1.0321980E-02
1648.839, 1.0232700E-02
1650.767, 1.0380500E-02
1652.696, 1.0214420E-02
1654.624, 1.0090940E-02
1656.553, 1.0173950E-02
1658.481, 9.9916449E-03
1660.410, 9.7014196E-03
1662.338, 9.7157015E-03
1664.267, 9.7355815E-03
1666.195, 9.6571688E-03
1668.124, 9.4855390E-03
1670.052, 9.3984539E-03
1671.981, 9.5898174E-03
1673.909, 9.5341150E-03
1675.838, 9.3219494E-03
1677.766, 9.0455068E-03
1679.694, 9.1039725E-03
1681.623, 9.0510128E-03
1683.551, 8.8294148E-03
1685.480, 8.9737875E-03
1687.408, 9.1974130E-03
1689.337, 9.3291774E-03
1691.265, 9.1788853E-03
1693.194, 9.1088600E-03
1695.122, 9.0278545E-03
1697.051, 8.7615270E-03
1698.979, 8.6017419E-03
1700.908, 8.5960533E-03
1702.836, 8.6051133E-03
1704.765, 8.2024876E-03
1706.693, 7.8227613E-03
1708.621, 8.4486278E-03
1710.550, 8.5180709E-03
1712.478, 7.6787020E-03
1714.407, 7.6030409E-03
1716.335, 8.1508113E-03
1718.264, 8.0217263E-03
1720.192, 8.0896690E-03
1722.121, 8.1178891E-03
1724.049, 7.9919193E-03
1725.978, 7.4173398E-03
1727.906, 7.3938258E-03
1729.835, 7.7585541E-03
1731.763, 7.6237270E-03
1733.692, 7.1792589E-03
1735.620, 6.7327209E-03
1737.548, 6.6479631E-03
1739.477, 6.4876089E-03
1741.405, 6.0651358E-03
1743.334, 5.8494508E-03
1745.262, 5.8277161E-03
1747.191, 5.9996210E-03
1749.119, 6.4688008E-03
1751.048, 6.8414500E-03
1752.976, 7.0292838E-03
1754.905, 7.5099422E-03
1756.833, 7.7576139E-03
1758.762, 7.5436332E-03
1760.690, 7.7600889E-03
1762.619, 8.2840538E-03
1764.547, 8.0503030E-03
1766.475, 7.7884840E-03
1768.404, 8.2108527E-03
1770.332, 8.4272269E-03
1772.261, 8.4467968E-03
1774.189, 8.4543824E-03
1776.118, 8.2391743E-03
1778.046, 8.1797047E-03
1779.975, 8.2664844E-03
1781.903, 8.3514722E-03
1783.832, 8.2973009E-03
1785.760, 8.1277089E-03
1787.689, 8.0869254E-03
1789.617, 8.3572371E-03
1791.546, 8.5868426E-03
1793.474, 9.1149099E-03
1795.402, 8.9946520E-03
1797.331, 8.6793052E-03
1799.259, 8.5314764E-03
1801.188, 8.5961306E-03
1803.116, 9.1257123E-03
1805.045, 9.0641351E-03
1806.973, 8.8509573E-03
1808.902, 9.3525173E-03
1810.830, 8.8654207E-03
1812.759, 8.6024674E-03
