##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
1.334499e+003, -9.312620e-004
1.336427e+003, -8.332973e-004
1.338356e+003, -7.614235e-004
1.340284e+003, -7.605210e-004
1.342213e+003, -8.014069e-004
1.344141e+003, -8.235899e-004
1.346070e+003, -8.632483e-004
1.347998e+003, -9.319573e-004
1.349927e+003, -9.590100e-004
1.351855e+003, -9.266553e-004
1.353784e+003, -9.659072e-004
1.355712e+003, -9.314893e-004
1.357641e+003, -7.936523e-004
1.359569e+003, -7.582906e-004
1.361497e+003, -7.019163e-004
1.363426e+003, -6.748863e-004
1.365354e+003, -8.115240e-004
1.367283e+003, -9.166264e-004
1.369211e+003, -8.718472e-004
1.371140e+003, -8.496625e-004
1.373068e+003, -8.610780e-004
1.374997e+003, -8.509578e-004
1.376925e+003, -8.680955e-004
1.378854e+003, -8.279281e-004
1.380782e+003, -8.234634e-004
1.382711e+003, -7.838457e-004
1.384639e+003, -7.322414e-004
1.386568e+003, -7.120144e-004
1.388496e+003, -7.386455e-004
1.390424e+003, -8.151286e-004
1.392353e+003, -7.550711e-004
1.394281e+003, -6.413065e-004
1.396210e+003, -6.710303e-004
1.398138e+003, -6.557124e-004
1.400067e+003, -6.961445e-004
1.401995e+003, -7.370078e-004
1.403924e+003, -5.497264e-004
1.405852e+003, -5.931583e-004
1.407781e+003, -7.685149e-004
1.409709e+003, -8.093145e-004
1.411638e+003, -8.340567e-004
1.413566e+003, -7.730311e-004
1.415495e+003, -6.841893e-004
1.417423e+003, -4.915256e-004
1.419351e+003, -3.527077e-004
1.421280e+003, -5.147000e-004
1.423208e+003, -5.321270e-004
1.425137e+003, -6.430051e-004
1.427065e+003, -7.486362e-004
1.428994e+003, -6.026021e-004
1.430922e+003, -5.397986e-004
1.432851e+003, -6.641811e-004
1.434779e+003, -5.923662e-004
1.436708e+003, -3.937641e-004
1.438636e+003, -5.171412e-004
1.440565e+003, -5.850809e-004
1.442493e+003, -5.589825e-004
1.444422e+003, -5.347698e-004
1.446350e+003, -5.982112e-004
1.448278e+003, -6.818033e-004
1.450207e+003, -7.295589e-004
1.452135e+003, -7.705176e-004
1.454064e+003, -6.927659e-004
1.455992e+003, -3.396288e-004
1.457921e+003, -4.022161e-004
1.459849e+003, -8.153993e-004
1.461778e+003, -9.549578e-004
1.463706e+003, -9.850331e-004
1.465635e+003, -1.067644e-003
1.467563e+003, -1.072015e-003
1.469492e+003, -8.786712e-004
