##NAMES=Aeschynite-(Y)
##RRUFFID=R080045
##IDEAL CHEMISTRY=(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_
##LOCALITY=Hittero, Vest-Agder, Norway
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Light brown glassy, from black amorphous sample R060312 after heating at T = 850 C for 18 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080045
1.683551e+003, 4.850046e-002
1.685480e+003, 4.861587e-002
1.687408e+003, 4.813693e-002
1.689337e+003, 4.797236e-002
1.691265e+003, 4.803627e-002
1.693194e+003, 4.823457e-002
1.695122e+003, 4.872186e-002
1.697051e+003, 4.890605e-002
1.698979e+003, 4.898563e-002
1.700908e+003, 4.905225e-002
1.702836e+003, 4.882609e-002
1.704765e+003, 4.902755e-002
1.706693e+003, 4.935665e-002
1.708621e+003, 4.962339e-002
1.710550e+003, 4.997675e-002
1.712478e+003, 5.045574e-002
1.714407e+003, 5.082522e-002
1.716335e+003, 5.158816e-002
1.718264e+003, 5.240569e-002
1.720192e+003, 5.285678e-002
1.722121e+003, 5.308878e-002
1.724049e+003, 5.329696e-002
1.725978e+003, 5.351201e-002
1.727906e+003, 5.378483e-002
1.729835e+003, 5.375232e-002
1.731763e+003, 5.383295e-002
1.733692e+003, 5.404453e-002
1.735620e+003, 5.380219e-002
1.737548e+003, 5.342074e-002
1.739477e+003, 5.297298e-002
1.741405e+003, 5.257045e-002
1.743334e+003, 5.226386e-002
1.745262e+003, 5.179903e-002
1.747191e+003, 5.136400e-002
1.749119e+003, 5.116184e-002
1.751048e+003, 5.100453e-002
1.752976e+003, 5.070755e-002
1.754905e+003, 5.057000e-002
1.756833e+003, 5.064673e-002
1.758762e+003, 5.065382e-002
1.760690e+003, 5.070892e-002
1.762619e+003, 5.084622e-002
1.764547e+003, 5.111088e-002
1.766475e+003, 5.127054e-002
1.768404e+003, 5.131844e-002
1.770332e+003, 5.160289e-002
1.772261e+003, 5.198736e-002
1.774189e+003, 5.191356e-002
1.776118e+003, 5.193398e-002
1.778046e+003, 5.202036e-002
1.779975e+003, 5.205559e-002
1.781903e+003, 5.227627e-002
1.783832e+003, 5.241689e-002
1.785760e+003, 5.254345e-002
1.787689e+003, 5.269116e-002
1.789617e+003, 5.285995e-002
