##NAMES=Aphthitalite
##RRUFFID=R050651
##IDEAL CHEMISTRY=K_3_Na(S^6+^O_4_)_2_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless hexagonal crystals displaying P-3m1 space group symmetry, associated with halite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050651
1.596770e+003, 2.063527e-002
1.598699e+003, 2.033006e-002
1.600627e+003, 2.024504e-002
1.602556e+003, 2.019903e-002
1.604484e+003, 1.983979e-002
1.606413e+003, 1.972110e-002
1.608341e+003, 1.916372e-002
1.610270e+003, 1.837172e-002
1.612198e+003, 1.823371e-002
1.614127e+003, 1.814108e-002
1.616055e+003, 1.747341e-002
1.617984e+003, 1.699978e-002
1.619912e+003, 1.683041e-002
1.621840e+003, 1.645956e-002
1.623769e+003, 1.630192e-002
1.625697e+003, 1.618878e-002
1.627626e+003, 1.533865e-002
1.629554e+003, 1.479483e-002
1.631483e+003, 1.474981e-002
1.633411e+003, 1.449342e-002
1.635340e+003, 1.427691e-002
1.637268e+003, 1.441254e-002
1.639197e+003, 1.419300e-002
1.641125e+003, 1.339672e-002
1.643054e+003, 1.288372e-002
1.644982e+003, 1.252194e-002
1.646911e+003, 1.208428e-002
1.648839e+003, 1.218150e-002
1.650767e+003, 1.196962e-002
1.652696e+003, 1.137832e-002
1.654624e+003, 1.106487e-002
1.656553e+003, 1.125527e-002
1.658481e+003, 1.132642e-002
1.660410e+003, 1.066238e-002
1.662338e+003, 1.016413e-002
1.664267e+003, 9.975228e-003
1.666195e+003, 9.602116e-003
1.668124e+003, 9.295164e-003
1.670052e+003, 9.226827e-003
1.671981e+003, 9.190239e-003
1.673909e+003, 9.370098e-003
1.675838e+003, 8.887825e-003
1.677766e+003, 8.301060e-003
1.679694e+003, 8.215697e-003
1.681623e+003, 8.027481e-003
1.683551e+003, 8.203535e-003
1.685480e+003, 8.145163e-003
1.687408e+003, 8.021577e-003
1.689337e+003, 8.363177e-003
1.691265e+003, 8.224973e-003
1.693194e+003, 8.074094e-003
1.695122e+003, 7.878717e-003
1.697051e+003, 7.558053e-003
1.698979e+003, 7.889931e-003
1.700908e+003, 7.931413e-003
1.702836e+003, 7.510060e-003
1.704765e+003, 7.430467e-003
