##NAMES=Margarosanite
##RRUFFID=R120111
##IDEAL CHEMISTRY=Ca_2_Pb^2+^Si_3_O_9_
##LOCALITY=Parker shaft, Franklin, New Jersey, USA
##OWNER=RRUFF
##SOURCE=Caltech  
##DESCRIPTION=Pearly, colorless cleavages
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120111
1.473349e+003, 1.081701e-002
1.475277e+003, 1.119609e-002
1.477205e+003, 1.168946e-002
1.479134e+003, 1.218035e-002
1.481062e+003, 1.238010e-002
1.482991e+003, 1.254842e-002
1.484919e+003, 1.229493e-002
1.486848e+003, 1.186882e-002
1.488776e+003, 1.145407e-002
1.490705e+003, 1.169735e-002
1.492633e+003, 1.234529e-002
1.494562e+003, 1.186422e-002
1.496490e+003, 1.142802e-002
1.498419e+003, 1.189580e-002
1.500347e+003, 1.213367e-002
1.502276e+003, 1.244381e-002
1.504204e+003, 1.160016e-002
1.506132e+003, 1.025971e-002
1.508061e+003, 1.095407e-002
1.509989e+003, 1.190965e-002
1.511918e+003, 1.199695e-002
1.513846e+003, 1.205374e-002
1.515775e+003, 1.182304e-002
1.517703e+003, 1.210708e-002
1.519632e+003, 1.170939e-002
1.521560e+003, 1.094156e-002
1.523489e+003, 1.160759e-002
1.525417e+003, 1.225558e-002
1.527346e+003, 1.254868e-002
1.529274e+003, 1.236183e-002
1.531203e+003, 1.260441e-002
1.533131e+003, 1.261211e-002
1.535059e+003, 1.297640e-002
1.536988e+003, 1.259614e-002
1.538916e+003, 1.088064e-002
1.540845e+003, 1.081483e-002
1.542773e+003, 1.213585e-002
1.544702e+003, 1.293507e-002
1.546630e+003, 1.380710e-002
1.548559e+003, 1.450486e-002
1.550487e+003, 1.451815e-002
1.552416e+003, 1.444838e-002
1.554344e+003, 1.414523e-002
1.556273e+003, 1.376928e-002
1.558201e+003, 1.252260e-002
1.560130e+003, 1.300281e-002
1.562058e+003, 1.503219e-002
1.563986e+003, 1.576787e-002
1.565915e+003, 1.610452e-002
1.567843e+003, 1.624155e-002
1.569772e+003, 1.609471e-002
1.571700e+003, 1.661610e-002
1.573629e+003, 1.682767e-002
1.575557e+003, 1.608775e-002
1.577486e+003, 1.668342e-002
1.579414e+003, 1.787153e-002
1.581343e+003, 1.835864e-002
1.583271e+003, 1.858813e-002
1.585200e+003, 1.867871e-002
1.587128e+003, 1.871279e-002
1.589057e+003, 1.826836e-002
1.590985e+003, 1.812020e-002
1.592913e+003, 1.831909e-002
1.594842e+003, 1.835001e-002
1.596770e+003, 1.808866e-002
1.598699e+003, 1.803624e-002
1.600627e+003, 1.813236e-002
1.602556e+003, 1.806428e-002
1.604484e+003, 1.752901e-002
1.606413e+003, 1.695870e-002
1.608341e+003, 1.662178e-002
1.610270e+003, 1.670952e-002
1.612198e+003, 1.658796e-002
1.614127e+003, 1.606863e-002
1.616055e+003, 1.500928e-002
1.617984e+003, 1.535539e-002
1.619912e+003, 1.623673e-002
1.621840e+003, 1.556157e-002
1.623769e+003, 1.498644e-002
1.625697e+003, 1.535647e-002
1.627626e+003, 1.564354e-002
1.629554e+003, 1.621183e-002
1.631483e+003, 1.664436e-002
1.633411e+003, 1.586328e-002
1.635340e+003, 1.470064e-002
1.637268e+003, 1.547498e-002
1.639197e+003, 1.666968e-002
1.641125e+003, 1.705449e-002
1.643054e+003, 1.670316e-002
1.644982e+003, 1.578952e-002
1.646911e+003, 1.540206e-002
1.648839e+003, 1.588178e-002
1.650767e+003, 1.519752e-002
1.652696e+003, 1.351115e-002
1.654624e+003, 1.490523e-002
1.656553e+003, 1.675274e-002
1.658481e+003, 1.714987e-002
1.660410e+003, 1.691429e-002
1.662338e+003, 1.619192e-002
1.664267e+003, 1.643892e-002
1.666195e+003, 1.690315e-002
1.668124e+003, 1.611263e-002
1.670052e+003, 1.594869e-002
1.671981e+003, 1.642568e-002
1.673909e+003, 1.605833e-002
1.675838e+003, 1.558510e-002
1.677766e+003, 1.602577e-002
1.679694e+003, 1.619611e-002
1.681623e+003, 1.612572e-002
1.683551e+003, 1.491595e-002
1.685480e+003, 1.476206e-002
1.687408e+003, 1.583907e-002
1.689337e+003, 1.613692e-002
1.691265e+003, 1.612590e-002
