##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
1180.222, 1.8061301E-02
1182.150, 1.7670389E-02
1184.079, 1.7043380E-02
1186.007, 1.6837901E-02
1187.936, 1.6595840E-02
1189.864, 1.6274471E-02
1191.792, 1.6165599E-02
1193.721, 1.6088160E-02
1195.649, 1.5688630E-02
1197.578, 1.5476050E-02
1199.506, 1.5248400E-02
1201.435, 1.4920390E-02
1203.363, 1.4812080E-02
1205.292, 1.4714550E-02
1207.220, 1.4651950E-02
1209.149, 1.4506220E-02
1211.077, 1.4249160E-02
1213.006, 1.4123990E-02
1214.934, 1.4087940E-02
1216.863, 1.3871170E-02
1218.791, 1.3664320E-02
1220.719, 1.3549690E-02
1222.648, 1.3648030E-02
1224.576, 1.3936940E-02
1226.505, 1.4071960E-02
1228.433, 1.4101690E-02
1230.362, 1.3984080E-02
1232.290, 1.3703890E-02
1234.219, 1.3492870E-02
1236.147, 1.3468000E-02
1238.076, 1.3457930E-02
1240.004, 1.3536360E-02
1241.933, 1.3459220E-02
1243.861, 1.3332840E-02
1245.790, 1.3346450E-02
1247.718, 1.3368080E-02
1249.646, 1.3488490E-02
1251.575, 1.3451020E-02
1253.503, 1.3224830E-02
1255.432, 1.3029720E-02
1257.360, 1.2946790E-02
1259.289, 1.3129030E-02
1261.217, 1.3126070E-02
1263.146, 1.3069360E-02
1265.074, 1.3236790E-02
1267.003, 1.3416850E-02
1268.931, 1.3314970E-02
1270.860, 1.3363160E-02
1272.788, 1.3463370E-02
1274.717, 1.3519390E-02
1276.645, 1.3471150E-02
1278.573, 1.3436200E-02
1280.502, 1.3471590E-02
1282.430, 1.3673970E-02
1284.359, 1.3835990E-02
1286.287, 1.3662420E-02
1288.216, 1.3542550E-02
1290.144, 1.3550700E-02
1292.073, 1.3465520E-02
1294.001, 1.3513110E-02
1295.930, 1.3577720E-02
1297.858, 1.3350490E-02
1299.787, 1.3056690E-02
1301.715, 1.3208150E-02
1303.644, 1.3357640E-02
1305.572, 1.3115560E-02
1307.500, 1.3054160E-02
1309.429, 1.3115900E-02
1311.357, 1.3221750E-02
1313.286, 1.3266270E-02
1315.214, 1.3198240E-02
1317.143, 1.3186740E-02
1319.071, 1.3134570E-02
1321.000, 1.3039360E-02
1322.928, 1.3120010E-02
1324.857, 1.3183200E-02
1326.785, 1.3130290E-02
1328.714, 1.3088440E-02
1330.642, 1.3143830E-02
1332.571, 1.3255620E-02
1334.499, 1.3150400E-02
1336.427, 1.3076420E-02
1338.356, 1.3141910E-02
1340.284, 1.3533090E-02
1342.213, 1.3638090E-02
1344.141, 1.3527360E-02
1346.070, 1.3595250E-02
1347.998, 1.3843160E-02
1349.927, 1.3911560E-02
1351.855, 1.4035470E-02
1353.784, 1.4214020E-02
1355.712, 1.4355670E-02
1357.641, 1.4667530E-02
1359.569, 1.4657560E-02
1361.498, 1.4597570E-02
1363.426, 1.4780890E-02
1365.354, 1.4849200E-02
1367.283, 1.4583540E-02
1369.211, 1.4750450E-02
1371.140, 1.5035490E-02
1373.068, 1.5231160E-02
1374.997, 1.5603140E-02
1376.925, 1.5787371E-02
1378.854, 1.5732270E-02
1380.782, 1.5653159E-02
1382.711, 1.5783381E-02
1384.639, 1.6002400E-02
1386.568, 1.6179740E-02
1388.496, 1.6157450E-02
1390.424, 1.6146950E-02
1392.353, 1.6259290E-02
1394.281, 1.6581340E-02
1396.210, 1.6715780E-02
1398.138, 1.6755581E-02
1400.067, 1.6852470E-02
1401.995, 1.7000301E-02
1403.924, 1.7005270E-02
1405.852, 1.7268030E-02
1407.781, 1.7708980E-02
1409.709, 1.7863020E-02
1411.638, 1.7894540E-02
1413.566, 1.7928340E-02
1415.495, 1.7882930E-02
1417.423, 1.8053520E-02
1419.351, 1.8503429E-02
1421.280, 1.8656310E-02
1423.208, 1.8515620E-02
1425.137, 1.8625280E-02
1427.065, 1.8754531E-02
1428.994, 1.8915610E-02
1430.922, 1.9083880E-02
1432.851, 1.9137889E-02
1434.779, 1.9407060E-02
